year,name,nationality,school
2002,Carrie-Ann Vail,Switzerland,
2002,Dinu Tamazlacaru,Moldavia,Did not use the apprenticeship/scholarship
2002,Maksat Sydykov,Kyrgyzstan,English National Ballet School
2002,Hitomi Tadeka,Japan,Australian Ballet School
2002,Milena Sidorova,Ukraine,The Royal Ballet School
2002,Vitali Safronkine,Russia,Zurich Ballet
2002,Maria Kochetkova,Russia,The Royal Ballet
2002,Hyo Jung Kang,South Korea,John Cranko School
2002,Matthew Golding,Canada,The Royal Ballet School
2002,Yuhui Choe,South Korea,The Royal Ballet
2001,Nikolai Kalabine,Russia,Did not use the apprenticeship/scholarship
2001,Sarawanee Tanatanit,Thailand,ABT Studio Company / American Ballet Theatre II
2001,Ludovic Ondiviela,France,The Royal Ballet School
2001,Louisa Rachedi,France,Canada's National Ballet School
2001,Natasha Kusen,Australia,The Royal Ballet School
2001,Misa Kuranaga,Japan,San Francisco Ballet
2001,Momoko Hirata,Japan,The Royal Ballet School
2001,Jaime Garcia Castilla,Spain,San Francisco Ballet
2001,Ryoichi Hirano,Japan,The Royal Ballet
2001,Natalia Domratcheva,Ukraine,Did not use the apprenticeship/scholarship
2001,Sarah Kora Dayanova,Switzerland,Did not use the apprenticeship/scholarship
2000,Fang Zhong-Jing,China,Did not use the apprenticeship/scholarship
2000,Wei Yao,China,San Francisco Ballet School
2000,Jeroen Verbruggen,Belgium,Canada's National Ballet School
2000,Kenta Shimizu,Japan,The Royal Ballet School
2000,Claudine Schoch,Switzerland,
2000,Anna Osadcenko,Germany,John Cranko School
2000,Ami Sakachi,Japan,English National Ballet School
2000,Masayoshi Onuki,Japan,
2000,Mariko Kida,Japan,San Francisco Ballet School
2000,Sergej Kheilik,Russia,John Cranko School
2000,Yuriko Kajiya,Japan,Canada's National Ballet School
1999,Rainer Krenstetter,Austria,The Royal Ballet School
1999,Shumpei Nemoto,Japan,English National Ballet School
1999,Karina Sarkissova,Russia,Did not use the scholarship
1999,Pierre Pontvianne,France,Nederlands Dans Theater II
1999,Kenta Kojiri,Japan,Les Ballets de Monte Carlo
1999,Davit Karapetyan,Armenia,Zurich Ballet
1999,Rina Kambe,Japan,"Royal Conservatoire, The Hague"
1999,Kate Cornish,Australia,The Royal Ballet School
1999,Laetitia Guggi,Switzerland,
1999,Clara Blanco Casquete,Spain,San Francisco Ballet School
1998,Arsen Megrabian,Armenia,Hamburg Ballet School - John Neumeier
1998,Véronique Tamaccio,France,Ecole Nationale Supérieure de Danse de Marseille
1998,Katja Wünsche,Germany,
1998,Yuichiro Yokozeki,Japan,Hamburg Ballet School - John Neumeier
1998,Anu Viheriäranta,Finland,The Royal Ballet School
1998,Asako Tanaka,Japan,
1998,Maiko Uemura,Japan,Ecole Nationale Supérieure de Danse de Marseille
1998,Yohan Stegli,France,
1998,Tigran Mikaelian,Armenia,
1998,Ekaterina Menchikh,Russia,
1998,Michael Kopinski,Poland,The Royal Ballet School
1998,Ayako Kikuyhi,Japan,Hamburg Ballet School - John Neumeier
1997,Maiko Oishi,Japan,Antwerp Royal Ballet School
1997,Melissa Wishinski,USA,
1997,Fabien Voranger,France,The Royal Ballet School
1997,Andrei Vassiliev,Russia,Hamburg Ballet School - John Neumeier
1997,Julie Tardy – Dupeyron,France,
1997,Friedemann Vogel,Germany,
1997,Lyn Tally,USA,
1997,Mayo Sugano,USA,San Francisco Ballet School
1997,Alina Cojocaru,Romania,The Royal Ballet School
1997,Julia Carnicer Hijazo,Spain,
1997,Antonio Carmena,Spain,School of American Ballet
1996,Cédric Ygnace,France,
1996,Roman Vassiliev,Russia,
1996,Ivan Poutrov,Ukraine,
1996,Geneviève Van Quaquebeke,Belgium,
1996,Shoko Nakamura,Japan,John Cranko School
1996,Laetitia Lo Sardo,France,Birmingham Royal Ballet
